address,bathrooms,date,discount,floor_elevator,link,price,realestate,rooms,sqft_m2
"Carrer de Josep Bertrand, Sant Gervasi- Galvany",4,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,3800,APROPERTIES REAL ESTATE Nº Aicat 6388,4,240
"Carrer Ample, Barri Gòtic",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2957,APROPERTIES REAL ESTATE Nº Aicat 6388,3,107
"Carrer de Calatrava, Les Tres Torres",3,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2350,APROPERTIES REAL ESTATE Nº Aicat 6388,3,137
"Pau Claris, Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2050,APROPERTIES REAL ESTATE Nº Aicat 6388,2,67
"Carrer Ample, Barri Gòtic",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,4091,APROPERTIES REAL ESTATE Nº Aicat 6388,2,75
Barri Gòtic,1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2530,APROPERTIES REAL ESTATE Nº Aicat 6388,1,53
"Carrer de Copèrnic, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1700,APROPERTIES REAL ESTATE Nº Aicat 6388,3,121
"Travessera de Gràcia, El Baix Guinardó",1,2020-10-22,150 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,950,APROPERTIES REAL ESTATE Nº Aicat 6388,1,45
"Carrer de Bordeus, Barri de les Corts",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1280,APROPERTIES REAL ESTATE Nº Aicat 6388,2,61
"Corsega, Vila de Gràcia",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1200,APROPERTIES REAL ESTATE Nº Aicat 6388,2,73
Sant Gervasi- Galvany,1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1000,APROPERTIES REAL ESTATE Nº Aicat 6388,1,32
"Carrer de Sant Pau, El Raval",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,900,APROPERTIES REAL ESTATE Nº Aicat 6388,1,45
"Carrer D'aribau, L'Antiga Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-fincas-aguila-bonfill/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751283509,1250,FINCAS AGUILÁ BONFILL,3,91
"Carrer Balmes, El Putget i el Farró",2,2020-10-22,,1,/es/inmobiliaria-gestin-3/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750437423,1100,GESTIN 3,3,100
"Carrer Amigo, Sant Gervasi- Galvany",1,2020-10-22,,1,/es/inmobiliaria-gestin-3/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202750437423,1100,GESTIN 3,1,86
"Carrer de Sant Pau, El Raval",1,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1000,APROPERTIES REAL ESTATE Nº Aicat 6388,1,45
"Carrer de Sant Pau, El Raval",1,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1000,APROPERTIES REAL ESTATE Nº Aicat 6388,1,45
"Carrer del Torrent de L'olla, Vila de Gràcia",1,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1600,APROPERTIES REAL ESTATE Nº Aicat 6388,2,50
"Carrer de Les Escoles Pies, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,4300,APROPERTIES REAL ESTATE Nº Aicat 6388,2,98
"Teodora Lamadrid, Sant Gervasi i la Bonanova",2,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2350,APROPERTIES REAL ESTATE Nº Aicat 6388,4,151
"Carrer de Ballester, 23, El Putget i el Farró",1,2020-10-22,,1,/es/inmobiliaria-arturo-elizalde-sainz/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202751237328,930,arturo elizalde sainz,2,50
"Carrer de L'avenir, Sant Gervasi- Galvany",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1650,APROPERTIES REAL ESTATE Nº Aicat 6388,3,89
"Carrer del Cardenal Vives I Tutó, Sarrià",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1900,APROPERTIES REAL ESTATE Nº Aicat 6388,3,109
"Carrer de Santaló, Sant Gervasi- Galvany",1,2020-10-22,,0,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,990,APROPERTIES REAL ESTATE Nº Aicat 6388,2,120
"Carrer de Castellnou, Les Tres Torres",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,,APROPERTIES REAL ESTATE Nº Aicat 6388,2,121
"Carrer de Sant Pere Màrtir, Vila de Gràcia",1,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1000,APROPERTIES REAL ESTATE Nº Aicat 6388,2,55
"Carrer de Blai, El Poble Sec - Parc de Montjuïc",2,2020-10-22,,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,1100,APROPERTIES REAL ESTATE Nº Aicat 6388,2,65
"Carrer de L'atlàntida, 37, La Barceloneta",1,2020-10-22,,1,/es/inmobiliaria-colleen-rose-wright/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202765651012,990,Colleen Rose Wright,2,52
"Balmes, L'Antiga Esquerra de l'Eixample",2,2020-10-22,,1,/es/inmobiliaria-chrysol-value-real-estate/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752512415,1400,CHRYSOL VALUE REAL ESTATE,3,95
"Carrer Napols, 211, Dreta de l'Eixample",1,2020-10-22,,1,/es/inmobiliaria-nivell-immobiliaria/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202752640765,1000,NIVELL IMMOBILIARIA,2,60
"Muntaner, L'Antiga Esquerra de l'Eixample",3,2020-10-22,100 €,1,/es/inmobiliaria-aproperties-real-estate-n-aicat-6388/alquiler/inmuebles/espana/todas-las-zonas/l?clientId=9202753825457,2600,APROPERTIES REAL ESTATE Nº Aicat 6388,3,160
