address,bathrooms,building_subtype,building_type,conservation_state,date,discount,floor_elevator,is_new_construction,link,price,realestate,realestate_id,rooms,sqft_m2
"Gran de Gràcia, Vila de Gràcia",1,Study,Flat,0,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-amueblado/157664341/d,675,INMOBILIARIA GLOBAL BCN,9202753556408,0,45
"Hercegovina, Sant Gervasi- Galvany",2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor/157695615/d,1500,ALL4FLAT,9202762177806,3,102
La Nova Esquerra de l'Eixample,1,Flat,Flat,2,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion/157695614/d,900,MICTAN,9202761958150,1,84
Sant Antoni,1,Flat,Flat,3,2020-10-28,0,0,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-amueblado/157695565/d,1200,AREA CASA,9202752570036,3,80
"Joaquin Costa, Sant Gervasi- Galvany",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157695554/d,1100,CAPOLRA,9202763524627,2,51
"Joaquin Costa, Sant Gervasi- Galvany",2,Flat,Flat,0,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-terraza-ascensor-amueblado/157695552/d,875,CAPOLRA,9202763524627,2,51
"Carrer de Bilbao, El Poblenou",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/ascensor-amueblado-television/157695339/d,950,Home Group Only 4 Rent,9202765187775,1,44
"Passeig de Manuel Girona, Pedralbes",2,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/calefaccion-ascensor-se-aceptan-mascotas-no-amueblado/157695318/d,1350,APROPERTIES REAL ESTATE Nº Aicat 6388,9202753825457,3,89
"Rambla de Fabra I Puig, Sant Andreu del Palomar",1,Attic,Flat,1,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-calefaccion-ascensor-amueblado/157695298/d,734,FINCAS SAN ANDRES,9202750564921,1,63
"Carrer de Sardenya, Sagrada Família",1,Flat,Flat,2,2020-10-28,0,1,False,/es/alquiler/vivienda/barcelona-capital/aire-acondicionado-ascensor-amueblado/157441654/d,1150,INMOSERVICE BARCELONA,9202754494789,3,83
